tag,patterns,responses,content
L441, Oh my God does this mean you're becoming normal?, It means that Gigglepuss is playing at Club Skunk and we're going.,
L320, Can you at least start wearing a bra?, Oh my God does this mean you're becoming normal?,
L319, I have the potential to smack the crap out of you if you don't get out of my way., Can you at least start wearing a bra?,
L165, Nowhere... Hi Daddy., I have the potential to smack the crap out of you if you don't get out of my way.,
L164, Where've you been?, Nowhere... Hi Daddy.,
L923, I have a date Daddy.  And he ' s not a captain of oppression like some men we know., Where've you been?,
L922, I'm missing something., I have a date Daddy.  And he ' s not a captain of oppression like some men we know.,
L884, Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!, I'm missing something.,
L883, You're not going unless your sister goes.  End of story., Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!,
L882," He's not a ""hot rod"".  Whatever that is.", You're not going unless your sister goes.  End of story.,
L881, It's that hot rod Joey right? That ' s who you want me to bend my rules for?," He's not a ""hot rod"".  Whatever that is.",
L880, No but, It's that hot rod Joey right? That ' s who you want me to bend my rules for?,
L879, The prom?  Kat has a date?, No but,
L878, Daddy I want to discuss the prom with you. It's tomorrow night --, The prom?  Kat has a date?,
L546, Because she'll scare them away., Daddy I want to discuss the prom with you. It's tomorrow night --,
L545, Why?, Because she'll scare them away.,
L544, Promise me you won't talk to any boys unless your sister is present., Why?,
L540, Just for a minute, Promise me you won't talk to any boys unless your sister is present.,
L539, Daddy no!, Just for a minute,
L538, Wear the belly before you go., Daddy no!,
L537, It's just a party. Daddy., Wear the belly before you go.,
L536, Oh God.  It's starting., It's just a party. Daddy.,
L524, If Kat's not going you're not going., Oh God.  It's starting.,
L523, Daddy people expect me to be there!, If Kat's not going you're not going.,
L521," It's just a party. Daddy but I knew you'd forbid me to go since ""Gloria Steinem"" over there isn't going --", Daddy people expect me to be there!,
L520, Otherwise known as an orgy?," It's just a party. Daddy but I knew you'd forbid me to go since ""Gloria Steinem"" over there isn't going --",
L519, If you must know we were attempting to go to a small study group of friends., Otherwise known as an orgy?,
L518, And where're you going?, If you must know we were attempting to go to a small study group of friends.,
L517, Daddy I --, And where're you going?,
L190, Exactly my point, Daddy I --,
L189, But she doesn't want to date., Exactly my point,
L183, But it's not fair -- she's a mutant Daddy!, But she doesn't want to date.,
L182, Then neither will you.  And I'll get to sleep at night., But it's not fair -- she's a mutant Daddy!,
L181, What if she never starts dating?, Then neither will you.  And I'll get to sleep at night.,
L180, No! You're not dating until your sister starts dating.  End of discussion., What if she never starts dating?,
L179, Now don't get upset. Daddy but there's this boy... and I think he might ask..., No! You're not dating until your sister starts dating.  End of discussion.,
L463, Just sent 'em through., Now don't get upset. Daddy but there's this boy... and I think he might ask...,
L462, Padua girls.  One tall decent body. The other one kinda short and undersexed?, Just sent 'em through.,
L461, Never, Padua girls.  One tall decent body. The other one kinda short and undersexed?,
L460, Fan of a fan.  You see a couple of minors come in?, Never,
L459, Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?, Fan of a fan.  You see a couple of minors come in?,
L458, Always a pleasure Brucie., Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?,
L779, Best case scenario you're back on the payroll for awhile., Always a pleasure Brucie.,
L778, You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score., Best case scenario you're back on the payroll for awhile.,
L586, No I ' m not., You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.,
L585, Buttholus extremus.  But hey you're making progress., No I ' m not.,
L584, The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?, Buttholus extremus.  But hey you're making progress.,
L583, Extremely unfortunate maneuver., The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?,
L500, Hell I've just been going over the whole thing in my head and -, Extremely unfortunate maneuver.,
L499, You told me that part already., Hell I've just been going over the whole thing in my head and -,
L433, It's her favorite band., You told me that part already.,
L432, Assail your ears for one night., It's her favorite band.,
L425, Okay!  I wasn't sure, Assail your ears for one night.,
L424, He's pretty!, Okay!  I wasn't sure,
L419, Dead at forty-one., He's pretty!,
L418, Her favorite uncle, Dead at forty-one.,
L417, It's a lung cancer issue, Her favorite uncle,
L416, Number one.  She hates smokers, It's a lung cancer issue,
L391, Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass., Number one.  She hates smokers,
L390, Will Bogey get bent?, Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.,
L389, In that case we'll need to make it a school-wide blow out., Will Bogey get bent?,
L388, This is it.  A golden opportunity. Patrick can ask Katarina to the party., In that case we'll need to make it a school-wide blow out.,
L245, Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle you're in a position of power. We let him pretend he's calling the shots and while he's busy setting up the plan you have time to woo Bianca., This is it.  A golden opportunity. Patrick can ask Katarina to the party.,
L244, You got him involved?, Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle you're in a position of power. We let him pretend he's calling the shots and while he's busy setting up the plan you have time to woo Bianca.,
L225, Hey -- I've gotta have a few clients when I get to Wall Street., You got him involved?,
L224, I thought you hated those people., Hey -- I've gotta have a few clients when I get to Wall Street.,
L223, You know if you do go out with Bianca you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side., I thought you hated those people.,
L222, That's what I just said, You know if you do go out with Bianca you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.,
L221, Did she actually say she'd go out with you?, That's what I just said,
L220, Forget his reputation.  Do you think we've got a plan or not?, Did she actually say she'd go out with you?,
L219, I'm serious man he's whacked.  He sold his own liver on the black market so he could buy new speakers., Forget his reputation.  Do you think we've got a plan or not?,
L218, They always let felons sit in on Honors Biology?, I'm serious man he's whacked.  He sold his own liver on the black market so he could buy new speakers.,
L217, No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz..., They always let felons sit in on Honors Biology?,
L216, He seems like he thrives on danger, No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...,
L215, What makes you think he'll do it?, He seems like he thrives on danger,
L213, You wanna go out with him?, What makes you think he'll do it?,
L212, What about him?, You wanna go out with him?,
L211, Unlikely but even so she still can't go out with you.  So what's the point?, What about him?,
L210, I teach her French get to know her dazzle her with charm and she falls in love with me., Unlikely but even so she still can't go out with you.  So what's the point?,
L159, The mewling rampalian wretch herself., I teach her French get to know her dazzle her with charm and she falls in love with me.,
L158, That's her?  Bianca's sister?, The mewling rampalian wretch herself.,
L157, Yeah just a minor encounter with the shrew., That's her?  Bianca's sister?,
L147, You could consecrate with her my friend., Yeah just a minor encounter with the shrew.,
L146, You mean I'd get a chance to talk to her?, You could consecrate with her my friend.,
L145, Guess who just signed up for a tutor?, You mean I'd get a chance to talk to her?,
L144, Sure do ... my Mom's from Canada, Guess who just signed up for a tutor?,
L143, You know French?, Sure do ... my Mom's from Canada,
L142, Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron but he's number twelve in the class.  And a model.  Mostly regional stuff but he's rumored to have a big tube sock ad coming out., You know French?,
L141, He always have that shit-eating grin?, Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron but he's number twelve in the class.  And a model.  Mostly regional stuff but he's rumored to have a big tube sock ad coming out.,
L140, Because they're bred to.  Their mothers liked guys like that and their grandmothers before them. Their gene pool is rarely diluted., He always have that shit-eating grin?,
L139, Why do girls like that always like guys like that?, Because they're bred to.  Their mothers liked guys like that and their grandmothers before them. Their gene pool is rarely diluted.,
L92, I could start with your haircut but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility., Why do girls like that always like guys like that?,
L91, Why not?, I could start with your haircut but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.,
L90, Bianca Stratford.  Sophomore. Don't even think about it, Why not?,
L89, Who is she?, Bianca Stratford.  Sophomore. Don't even think about it,
L88, You burn you pine you perish?, Who is she?,
L87, That girl -- I --, You burn you pine you perish?,
L78, Yeah but these guys have never seen a horse.  They just jack off to Clint Eastwood., That girl -- I --,
L77, That I'm used to., Yeah but these guys have never seen a horse.  They just jack off to Clint Eastwood.,
L74, Couple thousand. Most of them evil, That I'm used to.,
L73, How many people go here?, Couple thousand. Most of them evil,
L72, Get out!, How many people go here?,
L71, Thirty-two., Get out!,
L70, How many people were in your old school?, Thirty-two.,
L69, Yeah.  A couple.  We're outnumbered by the cows though., How many people were in your old school?,
L68, I was kidding. People actually live there?, Yeah.  A couple.  We're outnumbered by the cows though.,
L67, North actually.  How'd you   ?, I was kidding. People actually live there?,
L66, So -- which Dakota you from?, North actually.  How'd you   ?,
L65, C'mon.  I'm supposed to give you the tour., So -- which Dakota you from?,
L64, So they tell me..., C'mon.  I'm supposed to give you the tour.,
L63, You the new guy?, So they tell me...,
L781, You get the girl., You the new guy?,
L780, What's the worst?, You get the girl.,
L745, Where?, What's the worst?,
L744, She kissed me., Where?,
L743, You makin' any headway?, She kissed me.,
L741, She just needs time to cool off I'll give it a day., You makin' any headway?,
L740, She hates you with the fire of a thousand suns .  That's a direct quote, She just needs time to cool off I'll give it a day.,
L726, I don ' t know.  I decided not to nail her when she was too drunk to remember it., She hates you with the fire of a thousand suns .  That's a direct quote,
L725, What'd you do to her?, I don ' t know.  I decided not to nail her when she was too drunk to remember it.,
L625, Then go get her, What'd you do to her?,
L624, Sure, Then go get her,
L623, Cameron -- do you like the girl?, Sure,
L622, She's partial to Joey not me, Cameron -- do you like the girl?,
L621, What 're you talking about?, She's partial to Joey not me,
L620, It's off. The whole thing., What 're you talking about?,
L619, Cameron I'm a little busy, It's off. The whole thing.,
L431, Don't make me do it man, Cameron I'm a little busy,
L430, Gigglepuss is playing there tomorrow night., Don't make me do it man,
L427, So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?, Gigglepuss is playing there tomorrow night.,
L426," Okay -- Likes:  Thai food feminist prose and ""angry stinky girl music of the indie-rock persuasion"".", So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?,
L412, I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.," Okay -- Likes:  Thai food feminist prose and ""angry stinky girl music of the indie-rock persuasion"".",
L411, What've you got for me?, I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.,
L386, Yeah -- we'll see., What've you got for me?,
L385, And he means that strictly in a non- prison-movie type of way., Yeah -- we'll see.,
L558, And why would I do that?, And he means that strictly in a non- prison-movie type of way.,
L557, Leave my sister alone., And why would I do that?,
L556, Your sister here?, Leave my sister alone.,
L555, Away., Your sister here?,
L554, Where ya goin?, Away.,
L336, Not at all, Where ya goin?,
L335, Hey -- do you mind?, Not at all,
L150, They're running the rest of me next month., Hey -- do you mind?,
L149, Yeah and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break., They're running the rest of me next month.,
L148, The vintage look is over Kat. Haven't you been reading your Sassy?, Yeah and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.,
L748, Enough with the Barbie n' Ken shit. I know., The vintage look is over Kat. Haven't you been reading your Sassy?,
L747, I don't know Dorsey. ..the limo.-the flowers.  Another hundred for the tux --, Enough with the Barbie n' Ken shit. I know.,
L609, Get her to act like a human, I don't know Dorsey. ..the limo.-the flowers.  Another hundred for the tux --,
L608, Do what?, Get her to act like a human,
L607, How'd you do it?, Do what?,
L606, A deal's a deal., How'd you do it?,
L605, It's about time., A deal's a deal.,
L358, Forget her sister then., It's about time.,
L357, Forget it., Forget her sister then.,
L356, A hundred bucks a date., Forget it.,
L355, What?, A hundred bucks a date.,
L354, I just upped my price, What?,
L352, I got her under control. She just acts crazed in public to keep up the image., I just upped my price,
L351, Watching the bitch trash my car doesn't count as a date., I got her under control. She just acts crazed in public to keep up the image.,
L350, I'm on it, Watching the bitch trash my car doesn't count as a date.,
L349, When I shell out fifty I expect results., I'm on it,
L301, Fifty and you've got your man., When I shell out fifty I expect results.,
L300, Take it or leave it.  This isn't a negotiation., Fifty and you've got your man.,
L299, Fine thirty., Take it or leave it.  This isn't a negotiation.,
L298, I can't take a girl like that out on twenty bucks., Fine thirty.,
L297, How much?, I can't take a girl like that out on twenty bucks.,
L296, I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend., How much?,
L295, You're gonna pay me to take out some girl?, I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.,
L294, You got it Verona.  I pick up the tab you do the honors., You're gonna pay me to take out some girl?,
L292, But you'd go out with her if you had the cake?, You got it Verona.  I pick up the tab you do the honors.,
L291, You need money to take a girl out, But you'd go out with her if you had the cake?,
L290, You just said, You need money to take a girl out,
L289, Sure Sparky.  I'll get right on it., You just said,
L288, Yeah whatever.  I want you to go out with her., Sure Sparky.  I'll get right on it.,
L287, Two legs nice rack..., Yeah whatever.  I want you to go out with her.,
L286, What do you think?, Two legs nice rack...,
L285, Yeah, What do you think?,
L509, Hey -- it's all for the higher good right?, Yeah,
L508, You better not fuck this up.  I'm heavily invested., Hey -- it's all for the higher good right?,
L505, What?  We took bathes together when we were kids., You better not fuck this up.  I'm heavily invested.,
L504, You and Verona?, What?  We took bathes together when we were kids.,
L503, Uh  yeah.  We're old friend*, You and Verona?,
L502, I hear you're helpin' Verona., Uh  yeah.  We're old friend*,
L240, So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job., I hear you're helpin' Verona.,
L239, Does this conversation have a purpose?, So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.,
L238, But she can't go out with you because her sister is this insane head case and no one will go out with her. right?, Does this conversation have a purpose?,
L236, We're not., But she can't go out with you because her sister is this insane head case and no one will go out with her. right?,
L235, Well actually I thought I'd run an idea by you.  You know just to see if you're interested., We're not.,
L234, We don't chat., Well actually I thought I'd run an idea by you.  You know just to see if you're interested.,
L233, Nope - just came by to chat, We don't chat.,
L232, Are you lost?, Nope - just came by to chat,
L231, Hey., Are you lost?,
L949, Oh honey -- tell me we haven't' progressed to full-on hallucinations., Hey.,
L948, William - he asked me to meet him here., Oh honey -- tell me we haven't' progressed to full-on hallucinations.,
L947, Who?, William - he asked me to meet him here.,
L946, Have you seen him?, Who?,
L755, Oh good.  Something new and different for us., Have you seen him?,
L754, You ' re looking at this from the wrong perspective.  We're making a statement., Oh good.  Something new and different for us.,
L753, Okay okay we won't go.  It's not like I have a dress anyway, You ' re looking at this from the wrong perspective.  We're making a statement.,
L752, Listen to you!  You sound like Betty all pissed off because Archie is taking Veronica., Okay okay we won't go.  It's not like I have a dress anyway,
L751, Well I guess we're not since we don't have dates ., Listen to you!  You sound like Betty all pissed off because Archie is taking Veronica.,
L750, Can you even imagine?  Who the hell would go to this a bastion of commercial excess?, Well I guess we're not since we don't have dates .,
L721, I got drunk.  I puked.  I got rejected. It was big fun., Can you even imagine?  Who the hell would go to this a bastion of commercial excess?,
L720, You didn't, I got drunk.  I puked.  I got rejected. It was big fun.,
L719, I did Bianca a favor and it backfired., You didn't,
L718, You didn't have a choice?  Where's Kat and what have you done with her?, I did Bianca a favor and it backfired.,
L717, I didn't have a choice., You didn't have a choice?  Where's Kat and what have you done with her?,
L716, You went to the party?  I thought we were officially opposed to suburban social activity., I didn't have a choice.,
L491, Who cares?, You went to the party?  I thought we were officially opposed to suburban social activity.,
L490, What'd he say?, Who cares?,
L448, No fear., What'd he say?,
L447, You think this'll work?, No fear.,
L254," If I was Bianca it would be ""Any school you want precious.  Don't forget your tiara.""", You think this'll work?,
L253, Does it matter?," If I was Bianca it would be ""Any school you want precious.  Don't forget your tiara.""",
L252, I appreciate your efforts toward a speedy death but I'm consuming.  Do you mind?, Does it matter?,
L251, Neither has his heterosexuality., I appreciate your efforts toward a speedy death but I'm consuming.  Do you mind?,
L250, That's never been proven, Neither has his heterosexuality.,
L249, William didn't even go to high school, That's never been proven,
L248, William would never have gone to a state school., William didn't even go to high school,
L247, So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated puking frat boy number one golf team school. I have no say at all., William would never have gone to a state school.,
